Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
4.1,-16.32281571151175,-41.99878392871388,-8.569324383283023,-14.106428595619779,-310.8239039258337,2.477668716303924,-10.5153664385499,0.22980633032716113,-20.182591702117215,-1.153686628385449,16.017588847867845,-5.904030813906225,0.44927275836582226,-6.267771796165857,12.374016936563208
4.2,-15.866553914669463,-41.10966840731942,-7.88021121127078,-14.55535509105242,-298.49993387679206,3.2006465131803914,-12.871677319975422,-0.12832365178307192,-20.398903926690615,-2.56623847377365,15.327398978468235,-0.30968815304963115,0.32412512838834573,-5.239947874187907,11.935966920723086
4.3,-15.534501876309083,-39.965599089816216,-8.243687390956246,-13.436864506860651,-286.9380440819558,2.948192843571867,-12.409118529079368,-0.06682306570591834,-19.543167027855866,-3.4844999628310074,11.14681685122542,-0.9655292884249072,-0.23377377546926326,-5.215390467451076,11.749079899403498
4.4,-15.392740039516138,-38.75588405500916,-8.284234358450881,-13.82473577835968,-276.34666448959547,3.464033203811976,-12.091180796660558,0.32565713397150553,-20.208073723659517,-5.172729036634514,11.46447955923124,-0.9953666667898773,-0.9053237751739545,-6.310237910766645,10.29215097663355
4.5,-15.492938718685178,-37.95930265899057,-8.199187689876013,-13.576427327434116,-264.50947591249826,3.4265941458573828,-12.081812565852918,-0.15721239076666116,-17.80257770670792,-6.421192297106539,11.294036478567296,-1.1290087156248703,-1.2638598601708537,-6.164675182049322,9.410016749535007
4.6,-15.452640266110834,-38.13064723171918,-7.67141951421576,-13.363562942358405,-253.3041978913858,3.5786843539554454,-11.921662413935563,-0.3545630911356241,-17.632442210709655,-7.986965170335045,9.682556449129134,-1.7935239783988841,-1.3847819319280354,-6.0391624284415055,9.221157950434439
4.7,-16.3541626418504,-38.47692356413138,-7.584626987662858,-12.661875804882182,-246.63228600793246,3.1791303112017673,-11.875595557530659,-0.5125885716988279,-16.41669655377892,-9.732503516701902,8.418066217550784,-1.111697822412701,-2.0237519634650365,-5.889154797391004,8.679180514834194
4.8,-15.732660065609416,-44.311487185046225,-7.479091602038444,-12.982541571516432,-236.53297305003935,3.8418058623902738,-11.630083677859083,0.009679309013849391,-16.804160894736768,-11.316578149040916,8.84053044694613,-1.91037709977879,-1.9093003829001383,-5.988349573225882,7.7565413195699975
4.9,-15.317214936453702,-42.39244936349464,-7.549706658721153,-11.882705063702836,-227.24784595796197,4.437614183023143,-11.516126770888983,-0.10834464948553091,-15.475575571235712,-13.141149640889115,7.544357609394847,-1.2789320935129176,-2.0027204735409594,-4.886326970335087,7.369493171403462
5.0,-14.91558664218849,-41.99870272012073,-7.346249279536973,-11.952932086931758,-217.85004026360036,4.268606130490351,-10.869273959050481,-0.5602228424079936,-15.599879272860068,-11.049104916855113,6.445205747568876,-2.2224712189029496,-2.1080661803749337,-4.838202233957514,7.150108866576762
