Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123
5.3,-5.431860046402729,-1.8248838085185568,-8.280441941808625,-24.681225899267055,-6.28339361374638,-27.792095188620035,-1.148721147570262,-2.5630682315134434,-6.072211304595289,-1.764378310645185,-2.0710269466576614,8.313427237330279,-10.422580528536358,6.071328785024086,-10.82129496967644
5.4,-4.968372132144127,-1.2592072598594513,-8.333808330232749,-24.517068897500664,-6.190924384424697,-27.25666093743522,-1.3591239602121306,-2.3865807545544007,-6.314289618022877,-2.1273050887868976,-1.8181196108552484,7.85195579125411,-10.655343648821283,5.425345048719059,-10.31398246908174
5.5,-4.805486370837246,-1.1078195881963566,-8.400180872472369,-23.926063052110468,-6.139637167446018,-26.57485419543645,-0.028198771019226854,-2.2765365445408428,-6.099975810508842,-1.1939810893245486,-1.9701774006533181,7.798916653442994,-10.062852143926055,5.05666304448313,-9.780763771066347
5.6,-4.297302779587061,-2.549546249883093,-8.84900246246392,-22.954978059332916,-5.617034193558997,-26.241662733185088,0.1808779308157611,-2.298494511999108,-5.464613209274213,-0.8535579621383214,-1.6522369751434214,8.205854073794796,-9.882639588601782,4.976802650198046,-10.492514006150047
5.7,-4.270105382071234,-2.517367981464268,-8.734784770329949,-22.487001731502566,-5.351358635841519,-25.329796114624926,-3.4005260984556713,-2.4639505787026703,-5.626503621890557,-0.8239969704475065,-1.9515684609374304,7.901904055387929,-9.490324773562797,4.670354573560157,-10.014362510309937
5.8,-3.8335036018003956,-2.735494472660129,-8.850209507158173,-22.44490981195213,-4.902631586599323,-24.861338371891403,-1.3332639863332112,-2.3510928457455833,-5.510017357958416,-0.19142596727844818,-1.9238024014987252,8.060391081463408,-9.399524944708674,3.6879817899928113,-10.592808721134052
5.9,-3.5013335536597463,-2.594240297301191,-8.782902835450813,-20.73235021664834,-4.388967509660851,-24.56272759837094,-1.804381273187964,-2.6332366474774833,-5.95815968056181,-0.06835085006972186,-1.6877431371863967,7.873721390471463,-8.652190619851904,3.730405234818143,-10.35220289534449
6.0,-3.719452992009626,-3.3584589988676044,-8.818486094396905,-19.407850513631793,-3.8690570881479456,-23.66416076299993,0.6066611768429873,-2.054512823444992,-5.39455128622216,0.19725593965483057,-2.02052350930013,7.571643944887274,-9.276090700127796,2.9909483983318914,-10.91625995539869
6.1,-2.4725873099921607,-2.655258519450001,-8.196519861804973,-18.303349271189113,-3.3526964744424497,-23.140703717197777,0.5589103797875836,-1.9290941513479902,-5.024564936853814,0.41004412123909617,-2.169713532875411,7.36528190953244,-9.112752194249623,2.884829067284251,-10.097440847873184
6.2,-2.735052562219689,-3.4559468720614035,-7.8345071683368435,-17.66114542995205,-3.0456911759664536,-22.65822448408426,0.3482401165195981,-1.8700986484311546,-5.031647456810759,0.35115344656571246,-1.3133947395487757,7.274310777616268,-9.072451908386135,1.9324712474986931,-10.24639977914812
6.3,-3.268716236847993,-3.9144544473291774,-8.069312761827291,-17.09289941486848,-2.9641333334800315,-22.758050114911352,0.7014404059372303,-0.8263528941972389,-5.055536990898187,0.6069016404884984,-1.7935536612938465,7.022055997176059,-8.922102043190769,1.62586500194646,-10.042743446919626
