Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123
4.9,-4.7606529011341925,-3.2989033504749568,5.3520805792814095,-0.030753940579354655,-3.485330923971935,-23.689659743318174,-20.303842627138586,2.0872019810926705,3.452943149992077,1.8868969169825611,-1.8568809001266002,-6.375588399631852,-5.452828792257009,-10.9110907906366,-12.11055062580224,-0.7685531013093261
5.0,-4.532639945389679,-3.664001010839141,5.360065988751002,0.10965140656508776,-3.3556418985248033,-23.026392703119274,-19.980523967414133,2.1353670327346705,2.867719550393506,1.9687452549636255,-2.038838967841871,-6.003814391436652,-5.790629485007496,-10.384519260107012,-11.83097886694372,-0.6759352957398583
5.1,-4.671166420004467,-3.2854235167997192,5.459472872241406,0.049845988515848205,-3.496296973971541,-22.65649486903075,-19.592316614707585,2.1593227573544382,2.630280327879209,1.6334248070224113,-2.3199042036589486,-5.939882852276295,-5.317886362648768,-10.279440588448594,-11.222381223593526,-0.4057051811233574
5.2,-4.675523000874952,-3.572458568476276,5.174524877082028,-0.6540873274128849,-3.2173172887784087,-22.745422163016144,-19.602220001429565,2.4062552324082116,2.6671381082459327,1.468776470218483,-2.3343288269745353,-5.61866765573361,-5.49717167256809,-10.075304664443486,-11.401366837467979,-0.41220186863497865
5.3,-4.708259931773703,-3.3626817461212823,4.151272399879588,-0.2597052178564052,-3.4342711214553736,-22.659336753075976,-19.447714808494243,2.102928880879203,2.8759549185144664,1.3109409452351422,-2.483811713557664,-5.662924163518904,-5.168658980656339,-9.73527026831589,-10.914038205182099,-0.22609950936861978
5.4,-4.652239686898866,-3.408195485539009,5.591768537780322,-0.43817330326985626,-3.536614034259296,-22.0992946804106,-18.94654770953074,1.9535317474736367,3.1621393180435966,1.7299589047882389,-2.7298274522029358,-5.75294253975321,-5.254736180716993,-9.307830649638383,-10.685386493172455,-0.25144985848107204
5.5,-4.444822167651028,-3.0108094503187948,6.059357907793796,-0.4637080926035493,-3.4961085409823225,-22.488765553886665,-19.214077769825984,1.945491817541722,3.398271318414409,1.789056574840096,-2.5096565402236504,-5.508235965721827,-5.4956633343878,-9.274421622393575,-10.883417959126778,-0.2791031241420665
5.6,-5.132925364437709,-2.840119907928119,6.884088334829208,-0.7819957692632613,-2.922335302450585,-21.327568453767956,-18.352157894248474,1.69670912276991,2.6560371929477142,1.919499791960643,-2.604242521317687,-5.073043040020885,-5.304220970843282,-9.137973982558552,-10.12233821598671,-0.13243474418378653
5.7,-4.961359637668346,-2.5976351508594018,7.688717284205479,-0.9842710259092016,-3.363388497548347,-20.59495906881356,-17.63749770624893,1.8723225234551393,2.372272131637075,1.8112408286333768,-2.6307025774373507,-4.944820214832177,-5.6329629529965,-9.20442132433199,-10.101628991080908,-0.13104258873541497
5.8,-4.884929007347253,-2.9736926455905204,6.24288009517149,-1.2261960003148928,-3.443276691076033,-19.87887880762372,-17.03745428352722,1.782507918929367,2.7191166446387207,1.8460835570762093,-2.5911400141285723,-4.952553811234008,-5.430642811966209,-9.27405876018194,-9.897952995956212,0.1366357577903834
5.9,-4.905430924870782,-2.305786058743422,6.02435296824396,-1.0805127174642832,-3.2336569673189945,-19.367533249401326,-16.71271990137307,2.0526297973260714,2.8089018739832703,1.6521927137217052,-2.2076423897095836,-4.911205768061333,-5.894344910046044,-8.933290094573005,-9.94354248877923,-0.6979083002015436
6.0,-4.699778914463615,-2.6599203675209475,5.423701593301788,-0.9514528446156945,-3.2560612594312985,-18.577059303949788,-15.924814887470326,1.937453733226958,2.329128518428859,1.6271422111285005,-2.643613780700803,-4.9424264398574245,-5.779954402097019,-8.878291625779793,-10.121478327419101,-0.41598137645855005
6.1,-4.9016828760838544,-2.8018444550445025,5.288771510497563,-1.3192241214364309,-3.1788892690383506,-17.35462657579756,-15.1598378738091,1.8856794086472348,2.6468990193422037,1.6114524711703115,-2.554879525826027,-4.752950801456251,-5.776029520476499,-8.13602520018707,-9.776886652268157,-0.2316208576854777
6.2,-4.198840864791084,-2.7664888753972185,5.727679670169735,-1.2873404070399825,-3.135574373063533,-17.105740514951794,-14.653166770221919,1.776866710437698,2.8731627048799773,1.5313602449052297,-2.75398147724034,-4.338572384437633,-5.629279961602336,-8.209049994213707,-9.994449061480296,-0.17113899112019837
6.3,-4.486123984681082,-2.873591919143389,5.073081159518619,-1.5751249344198346,-3.4611941634138095,-16.95019328569797,-14.50128543816641,1.6943683000501384,3.3144170584187496,1.7477288584459352,-2.615165932832107,-4.492891631558459,-5.51879150238382,-7.846705142188022,-9.22556566323998,-0.08643201769808329
6.4,-4.767917406471024,-2.168964814261643,5.591657021697024,-1.6097991931819378,-3.4522254097945897,-16.21362706186361,-13.658646713385558,1.7216922357259374,3.0996447770845847,1.5229250198008266,-2.716525203776051,-4.6379017783545,-5.471611835264781,-7.739451903132019,-9.123730530197221,0.2199459267162318
