Index,Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2
42,4.1,8258.025,2609.436,10702.352,3768.796,8020.444,2277.022,5653.538,2326.962,7905.182,1337.03,12004.362,2617.0,15188.22,2244.44,7410.03,2916.851,5379.359,2462.719,9161.394,494.213,5436.443,2368.432,6279.065,2575.228,11552.142,2279.982,33046.945,2849.907,15981.911,2472.949
43,4.2,8281.064,2611.461,10716.481,3793.037,8044.3,2276.311,5646.388,2338.512,7943.849,1335.818,12045.551,2615.565,14920.62,2283.48,7385.672,2909.821,5373.781,2467.688,9044.115,497.689,5409.5,2360.261,6467.717,2580.859,11531.283,2281.062,33312.895,2883.84,15916.304,2464.937
44,4.3,8296.333,2613.192,10703.426,3773.796,8007.478,2268.767,5676.562,2334.2,7957.288,1330.621,12014.493,2618.362,14946.22,2270.44,7394.194,2918.299,5394.547,2465.344,8964.115,498.148,5307.239,2361.932,6441.13,2580.424,11472.009,2278.381,33258.547,2867.8,15890.646,2469.152
45,4.4,8285.295,2600.077,10722.519,3781.778,7997.678,2271.689,5657.925,2332.188,7949.167,1338.742,12030.174,2607.58,14968.98,2272.24,7395.328,2905.687,5379.094,2474.516,8820.328,497.59,5306.807,2355.682,6434.141,2578.63,11404.797,2276.85,32904.641,2853.827,15727.684,2476.24
46,4.5,8278.167,2605.449,10702.519,3774.481,8000.767,2281.044,5667.837,2337.137,8030.318,1336.455,12019.855,2614.159,14963.38,2283.44,7392.358,2925.209,5428.203,2451.859,8713.885,498.525,5300.057,2355.023,6428.196,2581.348,11365.194,2277.832,32895.906,2850.667,15612.646,2467.81
47,4.6,8267.128,2598.423,10640.259,3782.037,8009.733,2273.589,5670.212,2335.75,8098.076,1336.667,12011.044,2607.333,14969.84,2288.2,7363.134,2906.657,5433.969,2456.031,8577.36,495.246,5265.625,2361.841,6402.696,2582.272,11349.726,2283.894,32874.281,2839.96,15576.962,2462.215
48,4.7,8206.615,2598.705,10546.704,3767.852,8002.867,2272.844,5698.925,2344.113,8236.954,1663.091,11976.029,2617.536,14936.48,2267.08,7358.836,2911.403,5462.828,2450.469,8432.787,498.574,5226.0,2355.0,6420.011,2580.946,11288.15,2285.336,32877.785,2847.72,15515.405,2469.721
49,4.8,8239.372,2600.397,10144.056,3772.907,8001.956,2277.067,5681.837,2341.363,8278.167,1661.288,12005.913,2609.261,14949.38,2267.76,7370.328,2903.776,5452.562,2456.109,8291.541,492.066,5236.943,2357.568,6392.565,2584.402,11278.168,2277.991,32802.441,2843.733,15404.316,2469.709
50,4.9,8267.538,2609.91,10225.926,3796.407,7981.078,2270.311,5712.275,2337.938,8293.772,1663.242,12042.682,2613.073,14937.0,2259.24,7363.791,2904.627,5497.359,2462.938,8141.656,496.525,5200.966,2355.148,6403.641,2578.511,11265.098,2284.195,33095.773,2884.627,15347.734,2465.089
51,5.0,8279.103,2603.641,10220.686,3823.407,7987.367,2276.667,5705.688,2337.188,8313.394,1642.667,12007.102,2604.493,14999.68,2260.48,7346.582,2908.627,5485.797,2459.016,8308.36,498.279,5182.136,2365.068,6370.109,2580.717,11246.797,2286.106,33049.68,2870.067,15308.278,2459.089
